a canela	canela	a canela	/ɐ kɐ.ˈne.ɫɐ/	/sɐ.ˈne.lɐ/	sf		cinnamon						canela							cannelle					Zimt					canella					cannella											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
o coentro	coentro	o coentro	/u ku.ˈẽ.tɾu/	/kwẽ.ˈtɾu/	sm		coriander						cilantro							coriandre					Koriander					coriant					coriandolo											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
o cominho	cominho	o cominho	/u ku.ˈmi.ɲu/	/ku.ˈmi.ɲu/	sm		cumin						comino							cumin					Kreuzkümmel					cumí					comino											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
o louro	louro	o louro	/u ˈɫo.ɾu/	/ˈlow.ɾu/	sm		bay leaf						laurel							laurier					Lorbeer					llorer					alloro											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
a mostarda	mostarda	a mostarda	/ɐ muʃ.ˈtaɾ.dɐ/	/moʃ.ˈtaɾ.dɐ/	sf		mustard						mostaza							moutarde					Most					mostassa					mostarda											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
o orégão	orégão	o orégão	/u o.ˈɾɛ.gɐ̃w/	/o.ˈɾɛ.ɡɐ̃w̃/	sm		oregano						orégano							origan					Oregano					orenga					origano											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
a salsa	salsa	a salsa	/ɐ ˈsaɫ.sɐ/	/ˈsal.sɐ/	sf		parsley						perejil							persil					Petersilie					panyil					prezzemolo											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
a pimenta	pimenta	a pimenta	/ɐ pi.ˈmẽ.tɐ/	/pi.ˈmẽ.tɐ/	sf		pepper						pimienta							poivre					Pfeffer					piment					pepe											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
o vinagre	vinagre	o vinagre	/u vi.ˈna.gɾɨ/	/vi.ˈna.ɡɾi/	sm		vinegar						vinagre							vinaigre					Essig					vinagre					aceto											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
as especiarias	especiarias	as especiarias	/ɐz ʃ.pɨ.si.ɐ.ˈɾi.ɐʃ/	/ˌɛs.pɛ.sɪ.ɐ.ˈri.ɐʃ/	sfp		spices						especias							épices					Gewürze					especíes					spezie											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
as ervas aromáticas	ervas aromáticas	as ervas aromáticas	/ɐz ˈeɾ.vɐz ɐ.ɾu.ˈma.ti.kɐʃ/	/ˈɛr.vɐz a.ɾo.ˈma.ti.kɐʃ/	sfp		herbs						hierbas aromáticas							herbes aromatiques					Kräuter					herbes aromaticas					erbe aromatiche											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
os temperos	temperos	os temperos	/uʃ tẽ.ˈpe.ɾuʃ/	/tẽ.ˈpɛ.ɾus/	smp		seasonings						condimentos, sazonadores							assaisonnements					Gewürze					sazonadures					spezie											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
os legumes	legumes	os legumes	/uʒ ɫɨ.ˈgu.mɨʃ/	/ˈlɛ.ɡu.mɨʃ/	smp		vegetables						verduras							légumes					Gemüse					vegetals					verdure											Português::Curso::A1 Português::Vocabulario::Alimentos::Legumes_Vegetais
